variable_name,values,drug_name,type,subtype
Bactrim Inf Lsg,1368,Bactrim,Antibiotic,
Beco 5 Inj Lsg,7,Beco,#,
Becotal Inj Lsg,2944,Becotal,Nutrients,
Becozym forte Drag,4347,Becozym,Nutrients,
Beloc Inj Lsg,5603,Metoprolol,Vasodilator,Beta blocker
Beloc Perfusor,4219,Metoprolol,Vasodilator,Beta blocker
Beloc ZOK ret Tbl 25 mg,17699,Metoprolol,Vasodilator,Beta blocker
Beloc ZOK ret Tbl 50 mg,5015,Metoprolol,Vasodilator,Beta blocker
Beloc zok ret. Tbl 100 mg,1395,Metoprolol,Vasodilator,Beta blocker
Benerva Inj Lsg 100mg/1 ml,24155,Vitamin B1,Vitamin B1,
Benerva Tbl 100 mg,417,Vitamin B1,Vitamin B1,
Benerva Tbl 300 mg,5686,Vitamin B1,Vitamin B1,
Benuron supp 1000 mg,15633,Paracetamol,Non-opioid painkiller,
Betamethasone inj 4 mg/ml,2,Betamethasone,#,
Bilol 5 mg Tbl.,10,Bilol,#,
Brilique Tbl 90 mg,1330,Ticagrelor,Antithrombotic,Antiplatelet
Brufen Filmtbl. 200 mg,1,Ibuprofen,Non-opioid painkiller,
Brufen Filmtbl. 400 mg,99,Ibuprofen,Non-opioid painkiller,
Brufen Filmtbl. 600 mg,40,Ibuprofen,Non-opioid painkiller,
Brevibloc 2 5g/10ml,0,Brevibloc,#,
Ca-Acetat-Phopshatbinder 400 mg,166,Calcium Acetate Phosphate Binder,Reduce Phosphorous,
Calciparine,418,Heparin,Antithrombotic,Anticoagulant
Calciparine 12500 E/ 0.5ml,2,Heparin,Antithrombotic,Anticoagulant
Calcium Sandoz FF Brausetabl 1000 mg,194,Calcium,Calcium,
Calcium Sandoz Lsg 10% 10 ml,4165,Calcium,Calcium,
Calciumchlorid 5%,26363,Calcium Chloride,Calcium,
Cancidas 50 mg,728,Caspofungin,Antifungal,
Cancidas 70 mg,142,Caspofungin,Antifungal,
Captopril Tabl 25 mg,871,Captopril,Vasodilator,ACE inhibitor
Cardura CR Tbl 4 mg,1480,Doxazosin,Vasodilator,Alpha blocker
Carvedilol Tabl 12.5 mg,56,Carvedilol,Vasodilator,Beta blocker
Catapresan 25µg /ml Perfusor,152526,Clonidine,Vasopressor,Clonidine
Catapresan Tabl 150 mikrogr,3591,Clonidine,Vasopressor,Clonidine
Cefepime 2g Amp.,2139,Cefepime,Antibiotic,
CellCept Amp 500 mg,19,CellCept,Immunosuppressant,
CellCept Kps 250 mg,588,CellCept,Immunosuppressant,
CellCept Susp,1089,CellCept,Immunosuppressant,
CellCept Tbl 500 mg,494,CellCept,Immunosuppressant,
Cepimex,15703,Cefepime,Antibiotic,
Cepimex Amp 1g,0,Cefepime,Antibiotic,
Certican Tbl.à 0.25 mg,15,Certican,Immunosuppressant,
Chemotherapie,981,Chemotherapy,Chemotherapy,
Ciproxin 200 mg/100ml,674,Ciproxin,Antibiotic,
Ciproxin Infusion 400 mg,101,Ciproxin,Antibiotic,
Ciproxin Tbl 250 mg,155,Ciproxin,Antibiotic,
Ciproxin Tbl 500 mg,99,Ciproxin,Antibiotic,
Citalopram Tbl 20mg,197,Citalopram,#,
Clamoxyl Inj Lsg 2g,0,Clamoxyl,Antibiotic,
Clamoxyl Inj Lsg,2684,Clamoxyl,Antibiotic,
Clexane 0.2 ml s/c,402,Clexane,Antithrombotic,Anticoagulant
Clexane 0.4 ml s/c,1173,Clexane,Antithrombotic,Anticoagulant
Clexane 0.6 ml s/c,72,Clexane,Antithrombotic,Anticoagulant
Clexane 0.8 ml s/c,58,Clexane,Antithrombotic,Anticoagulant
Clexane 1.0 ml s/c,5,Clexane,Antithrombotic,Anticoagulant
Clindamycin Kps 300 mg,0,Clindamycin,Antibiotic,
Clindamycin Posphat 300,12,Clindamycin,Antibiotic,
Clindamycin Posphat 600,30,Clindamycin,Antibiotic,
Co-Amoxi Tbl 1g,0,Co-Amoxi,Antibiotic,
Co-Amoxi 1.2 g Inj Lsg,135,Co-Amoxi,Antibiotic,
Co-Amoxi 2.2g Inf Lsg,76,Co-Amoxi,Antibiotic,
Co-Amoxi Tbl 625 mg,2,Co-Amoxi,Antibiotic,
CoAprovel,15,CoAprovel,#,
Colidimin Tbl 200 mg,692,Colidimin,Antibiotic,
Concor Tbl 5 mg,89,Concor,Vasodilator,Beta blocker
Cordarone inj 50 mg/ml,171401,Amiodarone,Antiarrythmic,
Cordarone Perfusor,121327,Amiodarone,Antiarrythmic,
Cordarone Tbl 200 mg,2608,Amiodarone,Antiarrythmic,
Corotrop Inj Lsg 1mg/ml 10 ml,78720,milrinone,Vasodilator,Inodilator
Cosaar Tbl 50 mg,441,Losartan,Vasodilator,Angiotensin II receptor antagonists
Creon forte Kps,270,Creon,#,
Creon Kps,216,Creon,#,
Cyklokapron Infusion,1436,Tranexamic acis,Antifibrinolytic,
Cyklokapron inj 100 mg/ml,3410,Cyklokapron,Antifibrinolytic,
Cymevene 500 mg,415,Ganciclovir,Antiviral,
Dalacin Phosphat Inj Lsg 600 mg,0,Paracetamol,Non-opioid painkiller,
Dafalgan Brausetbl 1g,64593,Paracetamol,Non-opioid painkiller,
Dafalgan Brausetbl 500 mg,4034,Paracetamol,Non-opioid painkiller,
Dafalgan ODIS Schmelz Tabl 500 mg,4,Paracetamol,Non-opioid painkiller,
Dafalgan Supp 600 mg,34,Paracetamol,Non-opioid painkiller,
Dafalgan Tabl 1g,22101,Paracetamol,Non-opioid painkiller,
Dafalgan tabl 500 mg,696,Paracetamol,Non-opioid painkiller,
Dalacin C 600 Phosphat Amp.,822,Dalacin,Antibiotic,
Dalacin C Kps 300 mg,158,Dalacin,Antibiotic,
Dalacin C Phosphat Inj Lsg 300 mg,1318,Dalacin,Antibiotic,
Dequonal Gurgellösung,1201,Dequonal,#,
Dexdor Inf. Lsg,99473,Dexmedetomidine,Non-opioid painkiller,
Diamox inj 500 mg/5ml,106,Acetazolamide,#,
Diamox Tbl 250 mg,223,Acetazolamide,#,
Diazepam tabl 5 mg,176,Diazepam,#,
Diflucan Inf Lsg 200 mg,2457,Fluconazole,Antifungal,
Diflucan Kps 200 mg,208,Diflucan,Antifungal,
Diflucan Kps 50 mg,39,Diflucan,Antifungal,
Diflucan Susp Forte,34,Diflucan,Antifungal,
Digoxin inj 0.25 mg/ml,896,Digoxin,Antiarrythmic,
Digoxin Tabl 0.125 mg,184,Digoxin,Antiarrythmic,
Digoxin Tabl 0.25 mg,646,Digoxin,Antiarrythmic,
Dilatrend Tabl 12.5 mg,544,Carvedilol,Vasodilator,Beta blocker
Dilatrend Tabl 6.25 mg,152,Carvedilol,Vasodilator,Beta blocker
Diltiazem tabl 30 mg,0,Diltiazem,Vasodilator,
Diltiazem Tbl 60 mg,12,Diltiazem,Vasodilator,Calcium channel blocker
Dilzem retard Filmtbl 120 mg,44,Dilzem,Vasodilator,Calcium channel blocker
Dipiperon Tbl 40 mg,1522,Dipiperon,Antipsychotic,
Disoprivan 1%,28197,Propofol,Anaesthetic,
Disoprivan 2%,2195604,Propofol,Anaesthetic,
Disoprivan 2% BOLUS,128633,Propofol,Anaesthetic,
Disoprivan  BOLUS 2% 20mg/ml,0,Propofol,Anaesthetic,
Distraneurin Mixt 500 mg/10 ml,1322,Distraneurin,#,
Dobutrex 250 mg/20ml,512601,Dobutamine,Vasopressor,Dobutamine
Dormicum 5mg/ml BOLUS,3419,Dormicum,Anaesthetic,
Dormicum Bolus 1mg/ml,551,Dormicum,Anaesthetic,
Dormicum inj 1 mg/ml,120437,Dormicum,Anaesthetic,
Dormicum Perfusor 5 mg/ml,172398,Dormicum,Anaesthetic,
Dormicum Perfusor 5mg/ml,116,Dormicum,Anaesthetic,
Dormicum Tbl 7.5 mg,10,Dormicum,Anaesthetic,
Doxyclin Tbl 100 mg,43,Doxyclin,Antibiotic,
Durogesic Matrix 12 ug/h,218,Durogesic,Opioid painkiller,
Durogesic TTS 25 ug,683,Durogesic,Opioid painkiller,
Durogesic TTS 50 ug,406,Durogesic,Opioid painkiller,
Durogesic TTS Matrix 100 ug,182,Durogesic,Opioid painkiller,
Dyrenium comp. Kps,1242,Dyrenium,Vasodilator,Potassium Sparing diuretic
Ebrantil Inj Lsg,0,Ebrantil,#,
EbrAntil Inj Lsg,82218,Urapidil,Vasodilator,Alpha blocker
Ecalta Amp 100 mg,97,Ecalta,Antifungal,
Efexor Kps 75 mg,183,Venlafaxine,Antidepressant,
Efient Tbl 10 mg,707,Efient,Antithrombotic,Antiplatelet
Efient Tbl 5 mg,25,Efient,Antithrombotic,Antiplatelet
Eltroxin Tbl 0.05mg,77,Levothyroxine,Thyroidal,
Eltroxin Tbl 0.10mg,81,Levothyroxine,Thyroidal,
Enatec Tbl 10 mg,103,Enalapril Maleate,Vasodilator,ACE inhibitor
Enatec Tbl 20 mg,38,Enalapril Maleate,Vasodilator,ACE inhibitor
Enatec Tbl 5 mg,48,Enalapril Maleate,Vasodilator,ACE inhibitor
Erythrocin Inf Lsg,1771,Erythrocin,Antibiotic,
Esmeron Inj Lsg 50 mg,9036,Rocuronium,Anaesthetic,
Esmolol Inj Lsg 100 mg /10 ml,780,Esmolol,Antiarrythmic,
Euphyllin N Bolus,1238,Aminophylline,Bronchodilator,
Euphyllin N Perfusor,43485,Aminophylline,Bronchodilator,
Euthyrox tabl 0.1 mg,3319,Euthyrox,Thyroidal,
Euthyrox Tabl 50 µg,1084,Euthyrox,Thyroidal,
Fentanyl inj 50 µg/ml,477750,Fentanyl,Opioid painkiller,
Fentanyl Bolus inj 50 µg/ml,0,Fentanyl,Opioid painkiller,
Fentanyl Perf,257726,Fentanyl,Opioid painkiller,
Fentanyl-PCA-Lösung,4086,Fentanyl,Opioid painkiller,
Flagyl Tbl 500 mg,1248,Metronidazole,Antibiotic,
Florinef Tbl 0.1mg,589,Fludrocortisone,Corticosteroid,
Floxapen Inj Lsg,3763,Flucloxacillin,Antibiotic,
Floxapen Inj Lsg 2g,0,Flucloxacillin,Antibiotic,
Fortam 1 g Inj Lsg,307,Ceftazidime,Antibiotic,
Fortam 2g Inj Lsg,138,Ceftazidime,Antibiotic,
Fortam Stechamp 2g,0,Ceftazidime,Antibiotic,
Fortecortin Tbl 4 mg,2399,Dexamethasone,Corticosteroid,
Foscavir Inf Lsg 6000mg/250ml,0,Foscavir,#,
Fraxiparine,2051,Nadroparin calcium,Antithrombotic,Anticoagulant
Fraxiparine 0.3 ml s/c,794,Nadroparin calcium,Antithrombotic,Anticoagulant
Fraxiparine 0.4 ml s/c,631,Nadroparin calcium,Antithrombotic,Anticoagulant
Fraxiparine 0.6 ml s/c,122,Nadroparin calcium,Antithrombotic,Anticoagulant
Fraxiparine 0.8 ml s/c,108,Nadroparin calcium,Antithrombotic,Anticoagulant
Freka MIx 2000 ml,2227,Freka,Nutrients,
Fungizone Amp,3744,Amphotericin B,Antifungal,
Furosemide 10 mg/ml inj,445,Furosemide,Vasodilator,Loop diuretic
Garamycin,1281,Garamycin,Antibiotic,
Glucose 10%,22870,Glucose,Glucose,
Glucose 20%,4490,Glucose,Glucose,
Glucose 20% /100ml,18970,Glucose,Glucose,
Glucose 20% /500ml,11460,Glucose,Glucose,
Glucose 20%/100ml Pflege,1016,Glucose,Glucose,
Glucose 30%,1067,Glucose,Glucose,
Glucose 40%,0,Glucose,Glucose,
Glucose 50%,6090,Glucose,Glucose,
Glypressin Inj Lsg,3669,Terlipressin,Vasopressor,
Grafalon Inf Lsg,80,Grafalon,Immunosuppressant,
Haemofiltration,0,Haemofiltration,#,
Haemocomplettan,296,Fibrinogen,Antifibrinolytic,
Haemocomplettan P 1g,7,Fibrinogen,Antifibrinolytic,
Haemocomplettan P 2g,29,Fibrinogen,Antifibrinolytic,
Haemopressin TS Inj Lsg,254,Haemopressin,#,
Haldol Inj Lsg 5 mg/ml,29855,Haloperidol,Antipsychotic,
Haldol Trpf 2mg/ml,1269,Haloperidol,Antipsychotic,
Haloperidol inj 2.5 mg/ml,0,Haloperidol ,Antipsychotic,
Heparin Bichsel 500 E/ 5 ml,11,Heparin,Antithrombotic,Anticoagulant
Hydrocodon  Inj Lsg 15mg/ ml,0,Hydrocodon,Opioid painkiller,
Hydrocodon Inj Lsg,265,Hydrocodon,Opioid painkiller,
Hydrocortone Tbl 10 mg,299,Hydrocortone,Corticosteroid,
II;VII;IX;X;C;S: Beriplex P/N 500 TS Inj Lsg,950,II;VII;IX;X;C;S:,#,
Ilomedin 20 ug/ml Inf Lsg,192,Iloprost,Vasodilator,Pulmonary
Ilomedin Inj Lsg 50ug/2.5 ml,10317,Iloprost,Vasodilator,Pulmonary
Imurek Stechamp. 50 mg,78,Azathioprine,Immunosuppressant,
Imurek Tabl 50 mg,182,Azathioprine,Immunosuppressant,
Inderal Tbl 10 mg,372,Propranolol,Vasodilator,Beta blocker
Inderal Tbl 40 mg,398,Propranolol,Vasodilator,Beta blocker
Insulin Actrapid inj 100 U/ml,1146742,Insulin,Insulin,
Insulin Insulatard HM,190,Insulin,Insulin,
Insulin Lantus,205,Insulin,Insulin,
Insulin Mixtard 30 HM,36,Insulin,Insulin,
Insulin NovoRapid,711278,Insulin,Insulin,
Intratect 10g Inf Lsg,257,Intratect,Immunoglobulin,
Intratect10% Inf Lsg  5 g/50 ml,18,Intratect10%,Immunoglobulin,
Intratect10% Inf Lsg 10 g/100ml,981,Intratect10%,Immunoglobulin,
Intratect10% Inf Lsg 20 g/200ml,400,Intratect10%,Immunoglobulin,
Intravenous blood transfusion of packed cells,50004,Intravenous blood transfusion of packed cells,Intravenous blood transfusion of packed cells,
Isoket Dosieraerosol,10,Isoket,Vasodilator,Nitrate
Isoptin inj 2.5 mg/ml,15,Verapamil,Vasodilator,Calcium channel blocker
Isoptin Tbl 80 mg,108,Verapamil,Vasodilator,Calcium channel blocker
Isosource Protein,93993,Isosource,Nutrients,
Isosource Standard,199835,Isosource,Nutrients,
Kalium Chlorid 15% 10 ml,231828,Potassium Chloride,Potassium,
Kalium Effervetten,3375,Potassium,Potassium,
Kalium Phosphat,66816,Potassium Phosphate,Phosphorus,
Kalium Phosphat für Perfusor,76736,Potassium Phosphate,Phosphorus,
Kalium-Chlorid Sirup,42214,Potassium Chloride,Potassium,
K-Cl conc,69742,Potassium Chloride,Potassium,
K-Cl-Perfusor,0,Potassium Chloride,Potassium,
KCL ret. Hausmann Drg 10mmol (745mg),1394,Potassium Chloride,Potassium,
KCL Retard Zyma Drag,6645,Potassium Chloride,Potassium,
Kefzol Stechamp 2g,0,Cefazolin,Antibiotic,
Kefzol Inj Lsg,1259,Cefazolin,Antibiotic,
Keppra,13284,Levetiracetam,Antiseizure,
Keppra 500 mg Amp. i.v,2916,Levetiracetam,Antiseizure,
Ketalar 5mg/ml Perfusor Schmerzdienst,1925,Ketalar,Anaesthetic,
Ketalar Inj Lsg 500 mg/10 ml,11741,Ketalar,Anaesthetic,
Ketalar Perfusor,332,Ketalar,Anaesthetic,
Klacid Amp 500 mg,2541,clarithromycin,Antibiotic,
Klacid Tbl 500 mg,391,clarithromycin,Antibiotic,
Kochsalz Tbl 1g,146,Sodium Chloride,Sodium,
K-Phosphat Perfusor,0,Potassium inorganic phosphorus,Phosphorus,
K-Pi conc,17354,Potassium inorganic phosphorus,Phosphorus,
Krenosin Inj Lsg,425,Adenosine,#,
Lamictal Tbl 100 mg,557,Lamictal,Antiseizure,
Lamictal Tbl 25 mg,178,Lamictal,Antiseizure,
Lamotrigin Tbl 100 mg,532,Lamotrigin,Antiseizure,
Lamotrigin Tbl 25 mg,124,Lamotrigin,Antiseizure,
Lasix 40 mg tabl,415,Furosemide,Vasodilator,Loop diuretic
Lasix Bolus 20mg  Amp.,51506,Furosemide,Vasodilator,Loop diuretic
Lasix Perfusor 250 mg Amp.,117325,Furosemide,Vasodilator,Loop diuretic
Levetiracetam Inf Lsg,10,Levetiracetam,Antiseizure,
Liquemin 5000 U/ml,3719290,Heparin,Antithrombotic,Anticoagulant
Lisinopril Tbl 20mg,6194,Lisinopril,Vasodilator,ACE inhibitor
Loniten Tbl 2.5 mg,3591,Loniten,Vasodilator,Hair
Loniten Tbl 10 mg,0,Loniten,Vasodilator,
Lopirin Tbl 25 mg,0,Loprin,Vasodilator,
Lopirin Tabl 12.5 mg,30550,Loprin,Vasodilator,Angiotensin II receptor antagonists
Losartan Tabl 50 mg,33,Losartan,Vasodilator,Thiazides 
Lyrica Kps 25 mg,125,Lyrica,Antiseizure,
Lyrica Kps 75 mg,1552,Lyrica,Antiseizure,
Madopar DR Tbl 200 mg,360,Madopar,Antiparkinsonian,
Madopar LIQ 125 mg Tbl,2683,Madopar,Antiparkinsonian,
Madopar LIQ Tbl 62.5,428,Madopar,Antiparkinsonian,
Madopar Tbl 125 mg,152,Madopar,Antiparkinsonian,
Magnesiocard 5 mmol sachet,9776,Magnesiocard,Magnesium,
Magnesium Sulfat 50% 10 ml,64465,Magnesium Sulphate,Magnesium,
Marcoumar Tbl,194,Marcoumar,Antithrombotic,Anticoagulant
Mephameson 4mg/ml,5039,Mephameson,Corticosteroid,
Mephameson Inj Lsg 8mg/ml,328,Mephameson,Corticosteroid,
Meronem 1g,8637,Meronem,Antibiotic,
Meronem 500 mg,249,Meronem,Antibiotic,
Meropenem 1g,7,Meropenem,Antibiotic,
Meropenem 500 mg,7,Meropenem,Antibiotic,
Methadon inj 10 mg/ml,1164,Methadon,Opioid painkiller,
Methadon oral 0.5% 5mg/ml,2040,Methadon,Opioid painkiller,
Metolazon Tbl 5 mg,1748,Metolazon,Vasodilator,Thiazides 
Metoprolol Tartrat Tbl 10 mg,36,Metoprolol,Vasodilator,Beta blocker
Metronidazole inf 500 mg/100ml,13198,Metronidazole,Antibiotic,
Metronidazole tabl 200 mg,12,Metronidazole,Antibiotic,
Mg-Sulfat conc,309,Magnesium Sulphate,Magnesium,
Minirin inj,1639,Minirin,#,
Moduretic mite Tabl 2.5 mg/25 mg,3,Moduretic,Vasodilator,Potassium Sparing diuretic
Moduretic mite Tabl 50/2.5,535,Moduretic,Vasodilator,Potassium Sparing diuretic
Morphin HCl Lsg à 20mg/ml,22,Morphine,Opioid painkiller,
Morphin HCL Perfusor,45039,Morphine,Opioid painkiller,
Morphine Inj à 10mg,46,Morphine,Opioid painkiller,
Morphin als PCA Pumpe,0,Morphine,Opioid painkiller,
Morphin Trpf 1% 10mg/ml,0,Morphine,Opioid painkiller,
MST Continus ret Tbl 10 mg,12,Morphine,Opioid painkiller,
MST Continus ret Tbl 30,60,Morphine,Opioid painkiller,
MST Continus ret. Tbl 60,35,Morphine,Opioid painkiller,
Myambutol 400 mg/4ml,127,Ethambutol,Antibiotic,
Mycostatin Susp,406,Nystatin,Antifungal,
Na- Bicarbonat 8.4%,4267,Sodium Bicarbonate,Sodium Bicarbonate,
Na-Bicarbonat 1.4%,6260,Sodium Bicarbonate,Sodium Bicarbonate,
Na-Bicarbonat Inf Lsg 8.4%,12439,Sodium Bicarbonate,Sodium Bicarbonate,
NaCl 2.5%,33403,Sodium Chloride,Sodium,
NaCl conc Amp 14.5%,1182,Sodium Chloride,Sodium,
Na-Posph conc,127,Sodium Phosphate,Phosphorus,
Narcan Inj Lsg,2965,Naloxone,Reverse benzodiazepine,
Nebilet Tbl à 5 mg,377,Nebilet,Vasodilator,Beta blocker
Nebivolol Tabl 5 mg,28,Nebivolol,Vasodilator,Beta blocker
Neo-Mercazole Tabl 5 mg,482,Carbimazole,Hyperthyroid,
Nepresol inj 12.5 mg/ml,7118,Nepresol,Vasodilator,Hydrazinophthalazine
Nepro,11550,Nepro,Nepro,
Neupogen 30 Mio U,189,Filgrastim,Chemotherapy,
Neupogen 48 Mio U,65,Filgrastim,Chemotherapy,
Nimotop inf 0.2 mg/ml,49462,Nimodipine,Vasodilator,Calcium channel blocker
Nimotop Tabl 30 mg,19220,Nimodipine,Vasodilator,Calcium channel blocker
Nipruss 1mg/ml,204241,Nitroprusside,Vasodilator,Nitrate
Nitriate 0.5mg/ml,164332,Nitriate,Vasodilator,Nitrate
Nitriate 1mg/ml,32358,Nitriate,Vasodilator,Nitrate
Nitroderm TTS 10,1695,Nitroglycerine,Vasodilator,Nitrate
Nitroderm TTS 5,659,Nitroderm,Vasodilator,Nitrate
Nitroglycerin Kps 0.8mg,11,Nitroglycerin,Vasodilator,Nitrate
Nitroprussiat Fides 0.5mg/ml,84119,Nitroprusside,Vasodilator,Nitrate
Nitroprussiat Fides 1mg/ml,16494,Nitroprusside,Vasodilator,Nitrate
Nitroprusside DBL 0.5 mg/ml,1303,Nitroprusside,Vasodilator,Nitrate
Nitroprusside DBL 1mg/ml,197,Nitroprusside,Vasodilator,Nitrate
Noradrenalin 10 µg/ml Bolus,26448,Noradrenalin,Vasopressor,Noradrenalin
Noradrenalin 100 µg/ml Perfusor,475960,Noradrenalin,Vasopressor,Noradrenalin
Noradrenalin 1mg/ml,273,Noradrenalin,Vasopressor,Noradrenalin
Noradrenalin 20 µg/ml Perfusor,739847,Noradrenalin,Vasopressor,Noradrenalin
Norcuron inj 4mg/ml,4857,Vecuronium bromide,Anaesthetic,
Norfloxacin Filmtbl 400 mg,5,Norfloxacin,Antibiotic,
Noroxin tabl 400 mg,68,Noroxin,Antibiotic,
Norvasc Tabl 10 mg,3514,Amlodipine,Vasodilator,Calcium channel blocker
Norvasc Tabl 5 mg,2614,Amlodipine,Vasodilator,Calcium channel blocker
Novalgin inj lös 50% 2 ml,46053,Metamizole,Non-opioid painkiller,
Novalgin Tbl. à 500mg,531,Metamizole,Non-opioid painkiller,
Novalgin Trpf,5401,Metamizole,Non-opioid painkiller,
Novasource,4150,Novasource,Nutrients,
Novasource GI Forte + Fasern,43161,Novasource,Nutrients,
Noxafil Susp,36,Posaconazole,Antifungal,
Noxafil Tabl 100 mg,21,Posaconazole,Antifungal,
Nozinan Inj Lsg,584,Levomepromazine,#,
Nozinan Tbl 25 mg,441,Levomepromazine,#,
Nutriflex lipid spez 1250ml,107557,Nutriflex,Nutrients,
Nutriflex lipid spez 1875ml,87099,Nutriflex,Nutrients,
Nutriflex lipid spezial oE,31933,Nutriflex,Nutrients,
Nutriflex spez 1000 ml; ohne Fett,4483,Nutriflex,Nutrients,
Nutriflex spez 1000ml -F; - E,371,Nutriflex,Nutrients,
Obracin 80 mg,144,Obracin,Antibiotic,
Octagam Inf Lsg,4582,Immune Globulin Intravenous,Immunoglobulin,
Orfiril Inj Lösung,4353,Sodium valproate,Antiseizure,
Orfiril long Ret Kps 150 mg,192,Sodium valproate,Antiseizure,
Orfiril Sirup,1548,Sodium valproate,Antiseizure,
Oxycontin Ret Tbl à 10mg,7,Oxycodone,Opioid painkiller,
Oxycontin Ret Tbl à 20mg,40,Oxycodone,Opioid painkiller,
Oxynorm Trpf 10mg/ml,60,Oxycodone,Opioid painkiller,
Paravertebralblock-Lösung,1445,#VALUE!,#,
Pavulon inj 2 mg/ml,2,Pavulon,Anaesthetic,
PCA-Morphin,3883,Morphine,Opioid painkiller,
PDA-Bupivacain 0.125% ohne Fentanyl,267,PDA-Bupivacain,PDA,
PDA-Forte,6778,PDA-Forte,PDA,
PDA-Forte Bolus,714,PDA-Forte,PDA,
PDA-Standard Bolus,2017,PDA-Standard,PDA,
Penicillin 50 000 U/ml,51,Penicillin,Antibiotic,
Penicillin G 1 Mio,2818,Penicillin,Antibiotic,
Pentothal 1g Inf Lsg,22560,Sodium thiopental,Anaesthetic,
Pentothal inj 0.5g,2182,Sodium thiopental,Anaesthetic,
Perfalgan 1g,75994,Paracetamol,Non-opioid painkiller,
Perfalgan 500 mg,4372,Paracetamol,Non-opioid painkiller,
Perlinganit mg/ml inf,75026,Nitroglycerine,Vasodilator,Nitrate
Perlinganit Perfusor,83,Nitroglycerine,Vasodilator,Nitrate
Pethidine inj 50 mg/ml,128,Pethidine,Opioid painkiller,
Phenhydan Inf Lsg 750 mg,49521,Phenhydan,Antiseizure,
Phenhydan inj 50 mg/ml 5 ml,2860,Phenhydan,Antiseizure,
Phenhydan tabl 100 mg,6466,Phenhydan,Antiseizure,
Phenobarbital 200 mg/2ml,18,Phenobarbital,#,
Phoscap Phosphat-Kps,18042,Phosphorus,Phosphorus,
Piperacillin-Tazobactam 2.25 Inj Lsg,1836,Piperacillin-Tazobactam,Antibiotic,
PK-Merz 500 ml,487,Amantadine sulphate,#,
Platelet transfusion,8466,Platelet transfusion,Platelet transfusion,
Plavix Tbl 75 mg,5064,Clopidogrel,Antithrombotic,Antiplatelet
Prednisolone tabl 20 mg,19,Prednisolone,Corticosteroid,
